DPF3_MOUSE	DPF3_MOUSE
PLAG1_MOUSE	PLAG1_MOUSE
PLAG1_MOUSE	Q925T4_MOUSE
PLAG1_MOUSE	A0A0A6YWE3_MOUSE
SNAI3_MOUSE	SNAI3_MOUSE
SNAI3_MOUSE	SNAI2_MOUSE
SNAI3_MOUSE	SNAI1_MOUSE
ZBTB3_MOUSE	ZBTB3_MOUSE
A0A0R4J249_MOUSE	A0A0R4J249_MOUSE
A0A0R4J249_MOUSE	D3Z1J4_MOUSE
A0A2R8W6H0_MOUSE	A0A2R8W6H0_MOUSE
ZN296_MOUSE	ZN296_MOUSE
ZN524_MOUSE	ZN524_MOUSE
ZN740_MOUSE	ZN740_MOUSE
BNC2_MOUSE	BNC2_MOUSE
BNC2_MOUSE	F8VPY0_MOUSE
B1ASQ6_MOUSE	B1ASQ6_MOUSE
B1ASQ6_MOUSE	A2A7I0_MOUSE
B1ASQ6_MOUSE	D3YYH7_MOUSE
B1ASQ6_MOUSE	B1AVN4_MOUSE
B1ASQ6_MOUSE	B1AVX1_MOUSE
JAZF1_MOUSE	JAZF1_MOUSE
SP1_MOUSE	SP1_MOUSE
SP1_MOUSE	SP3_MOUSE
SP1_MOUSE	A0A1Y7VJR5_MOUSE
ZBT32_MOUSE	ZBT32_MOUSE
Q99K53_MOUSE	Q99K53_MOUSE
Q99K53_MOUSE	ZN672_MOUSE
Q99K53_MOUSE	A0A0U1RPC5_MOUSE
Q99K53_MOUSE	ZN235_MOUSE
Q99K53_MOUSE	E9Q8I5_MOUSE
Q99K53_MOUSE	E9Q6Y4_MOUSE
Q99K53_MOUSE	A0A0U1RPI4_MOUSE
Q99K53_MOUSE	A0A0U1RPG2_MOUSE
E9QK22_MOUSE	E9QK22_MOUSE
A0A0R4J0E2_MOUSE	A0A0R4J0E2_MOUSE
A0A0R4J0E2_MOUSE	ZIC4_MOUSE
A0A0R4J0E2_MOUSE	F8VPV3_MOUSE
A0A0R4J0E2_MOUSE	ZIC1_MOUSE
A0A0R4J0E2_MOUSE	ZIC3_MOUSE
ZN319_MOUSE	ZN319_MOUSE
ZN526_MOUSE	ZN526_MOUSE
ZN746_MOUSE	ZN746_MOUSE
CTCF_MOUSE	CTCF_MOUSE
CTCF_MOUSE	CTCFL_MOUSE
KCMF1_MOUSE	KCMF1_MOUSE
Q8BNQ4_MOUSE	Q8BNQ4_MOUSE
KAISO_MOUSE	KAISO_MOUSE
D3Z3H8_MOUSE	D3Z3H8_MOUSE
ZIK1_MOUSE	ZIK1_MOUSE
ZNF32_MOUSE	ZNF32_MOUSE
ZN532_MOUSE	ZN532_MOUSE
E9QNP6_MOUSE	E9QNP6_MOUSE
E9QNP6_MOUSE	KLF2_MOUSE
PRDM1_MOUSE	PRDM1_MOUSE
A2ATY4_MOUSE	A2ATY4_MOUSE
A2ATY4_MOUSE	F7ALN1_MOUSE
G3X904_MOUSE	G3X904_MOUSE
D3Z778_MOUSE	D3Z778_MOUSE
E9PUP8_MOUSE	E9PUP8_MOUSE
E9PUP8_MOUSE	ZFX_MOUSE
E9PUP8_MOUSE	ZFY1_MOUSE
E9PUP8_MOUSE	ZFY2_MOUSE
Q3UVK2_MOUSE	Q3UVK2_MOUSE
Q8C393_MOUSE	Q8C393_MOUSE
ZN536_MOUSE	ZN536_MOUSE
ZN768_MOUSE	ZN768_MOUSE
DJC21_MOUSE	DJC21_MOUSE
PRD10_MOUSE	PRD10_MOUSE
ZFP28_MOUSE	ZFP28_MOUSE
ZFP28_MOUSE	A0A1D5RLC5_MOUSE
ZFP28_MOUSE	RBAK_MOUSE
ZFP28_MOUSE	ZNF12_MOUSE
ZFP28_MOUSE	A2A4U6_MOUSE
ZFP28_MOUSE	ZN271_MOUSE
ZFP28_MOUSE	Z354B_MOUSE
ZFP28_MOUSE	Z354A_MOUSE
A0A0J9YUB5_MOUSE	A0A0J9YUB5_MOUSE
A0A0J9YUB5_MOUSE	O88229_MOUSE
F7BZQ2_MOUSE	F7BZQ2_MOUSE
ZKSC1_MOUSE	ZKSC1_MOUSE
ZKSC1_MOUSE	A0A286YCX3_MOUSE
ZKSC1_MOUSE	O88255_MOUSE
ZKSC1_MOUSE	ZSC12_MOUSE
ZN541_MOUSE	ZN541_MOUSE
ZN770_MOUSE	ZN770_MOUSE
