TF_ID	Gene_ID	Family
PK09586.1	PK09586.1	ERF
PK09781.1	PK09781.1	ERF
PK11678.1	PK11678.1	ERF
PK11782.1	PK11782.1	ERF
PK12040.1	PK12040.1	ERF
PK12109.1	PK12109.1	ERF
PK13330.1	PK13330.1	ERF
PK13470.1	PK13470.1	ERF
PK15234.1	PK15234.1	ERF
PK15554.1	PK15554.1	ERF
PK15612.1	PK15612.1	ERF
PK15705.1	PK15705.1	ERF
PK16069.1	PK16069.1	ERF
PK16401.1	PK16401.1	ERF
PK16787.1	PK16787.1	ERF
PK17878.1	PK17878.1	ERF
PK18548.1	PK18548.1	ERF
PK18885.1	PK18885.1	ERF
PK19363.1	PK19363.1	ERF
PK21096.1	PK21096.1	ERF
PK22951.1	PK22951.1	ERF
PK23186.1	PK23186.1	ERF
PK23332.1	PK23332.1	ERF
PK23512.1	PK23512.1	ERF
PK24580.1	PK24580.1	ERF
PK25211.1	PK25211.1	ERF
PK25269.1	PK25269.1	ERF
PK25715.1	PK25715.1	ERF
PK25743.1	PK25743.1	ERF
PK25970.1	PK25970.1	ERF
PK26398.1	PK26398.1	ERF
PK27421.1	PK27421.1	ERF
PK27482.1	PK27482.1	ERF
PK28082.1	PK28082.1	ERF
PK28394.1	PK28394.1	ERF
PK28640.1	PK28640.1	ERF
PK28683.1	PK28683.1	ERF
PK28774.1	PK28774.1	ERF
PK28779.1	PK28779.1	ERF
PK28823.1	PK28823.1	ERF
PK29021.1	PK29021.1	ERF
PK29047.1	PK29047.1	ERF
PK29340.1	PK29340.1	ERF
PK29475.1	PK29475.1	ERF
PK04669.1	PK04669.1	DBB
PK08508.1	PK08508.1	DBB
PK15602.1	PK15602.1	DBB
PK16855.1	PK16855.1	DBB
PK17569.1	PK17569.1	DBB
PK04274.1	PK04274.1	CO-like
PK04489.1	PK04489.1	CO-like
PK11450.1	PK11450.1	CO-like
PK17744.1	PK17744.1	CO-like
PK18183.1	PK18183.1	CO-like
PK18183.2	PK18183.2	CO-like
PK18183.3	PK18183.3	CO-like
PK20565.1	PK20565.1	CO-like
PK20802.1	PK20802.1	CO-like
PK20924.1	PK20924.1	CO-like
PK02601.1	PK02601.1	ARR-B
PK07924.1	PK07924.1	ARR-B
PK09202.1	PK09202.1	ARR-B
PK19826.1	PK19826.1	ARR-B
PK26059.1	PK26059.1	ARR-B
PK00827.1	PK00827.1	G2-like
PK01035.1	PK01035.1	G2-like
PK01305.1	PK01305.1	G2-like
PK01823.1	PK01823.1	G2-like
PK01823.3	PK01823.3	G2-like
PK02601.2	PK02601.2	G2-like
PK02936.1	PK02936.1	G2-like
PK02936.2	PK02936.2	G2-like
PK03633.1	PK03633.1	G2-like
PK04145.1	PK04145.1	G2-like
PK05290.1	PK05290.1	G2-like
PK05732.1	PK05732.1	G2-like
PK09499.1	PK09499.1	G2-like
PK10342.1	PK10342.1	G2-like
PK14402.1	PK14402.1	G2-like
PK14629.1	PK14629.1	G2-like
PK14629.2	PK14629.2	G2-like
PK15677.1	PK15677.1	G2-like
PK16227.1	PK16227.1	G2-like
PK19727.1	PK19727.1	G2-like
PK19779.1	PK19779.1	G2-like
PK20264.1	PK20264.1	G2-like
PK20621.1	PK20621.1	G2-like
PK23608.1	PK23608.1	G2-like
PK23854.1	PK23854.1	G2-like
PK23977.1	PK23977.1	G2-like
PK24920.1	PK24920.1	G2-like
PK25809.1	PK25809.1	G2-like
PK26523.1	PK26523.1	G2-like
PK26966.1	PK26966.1	G2-like
PK27491.1	PK27491.1	G2-like
PK01025.1	PK01025.1	MIKC_MADS
PK01421.1	PK01421.1	MIKC_MADS
PK01844.1	PK01844.1	MIKC_MADS
PK02524.1	PK02524.1	MIKC_MADS
PK08595.1	PK08595.1	MIKC_MADS
PK08909.1	PK08909.1	MIKC_MADS
PK08909.2	PK08909.2	MIKC_MADS
PK09312.1	PK09312.1	MIKC_MADS
PK10580.1	PK10580.1	MIKC_MADS
PK10594.1	PK10594.1	MIKC_MADS
PK11571.1	PK11571.1	MIKC_MADS
PK12001.1	PK12001.1	MIKC_MADS
PK13658.1	PK13658.1	MIKC_MADS
PK14825.1	PK14825.1	MIKC_MADS
PK15717.1	PK15717.1	MIKC_MADS
PK19420.1	PK19420.1	MIKC_MADS
PK19698.1	PK19698.1	MIKC_MADS
PK19764.1	PK19764.1	MIKC_MADS
PK20651.1	PK20651.1	MIKC_MADS
PK21769.1	PK21769.1	MIKC_MADS
PK22420.1	PK22420.1	MIKC_MADS
PK24532.1	PK24532.1	MIKC_MADS
PK26778.1	PK26778.1	MIKC_MADS
PK26896.1	PK26896.1	MIKC_MADS
PK27158.1	PK27158.1	MIKC_MADS
PK27820.1	PK27820.1	MIKC_MADS
PK28167.1	PK28167.1	MIKC_MADS
PK28790.1	PK28790.1	MIKC_MADS
PK03147.1	PK03147.1	M-type_MADS
PK14825.2	PK14825.2	M-type_MADS
PK19352.1	PK19352.1	M-type_MADS
PK20581.1	PK20581.1	M-type_MADS
PK21701.1	PK21701.1	M-type_MADS
PK29837.1	PK29837.1	M-type_MADS
PK05727.1	PK05727.1	GRF
PK07653.1	PK07653.1	GRF
PK09793.1	PK09793.1	GRF
PK09793.2	PK09793.2	GRF
PK14408.1	PK14408.1	GRF
PK16254.1	PK16254.1	GRF
PK17885.1	PK17885.1	GRF
PK18842.1	PK18842.1	GRF
PK26554.1	PK26554.1	GRF
PK28107.1	PK28107.1	GRF
PK00680.1	PK00680.1	HB-other
PK02373.1	PK02373.1	HB-other
PK02373.2	PK02373.2	HB-other
PK02496.1	PK02496.1	HB-other
PK03141.2	PK03141.2	HB-other
PK03811.1	PK03811.1	HB-other
PK06068.1	PK06068.1	HB-other
PK06316.2	PK06316.2	HB-other
PK11392.1	PK11392.1	HB-other
PK12151.1	PK12151.1	HB-other
PK12151.3	PK12151.3	HB-other
PK13272.1	PK13272.1	HB-other
PK19166.1	PK19166.1	HB-other
PK25011.1	PK25011.1	HB-other
PK10298.1	PK10298.1	WOX
PK07906.1	PK07906.1	WOX
PK12498.1	PK12498.1	WOX
PK06427.1	PK06427.1	WOX
PK14252.1	PK14252.1	WOX
PK07880.1	PK07880.1	WOX
PK19694.1	PK19694.1	WOX
PK19496.1	PK19496.1	TALE
PK13537.2	PK13537.2	TALE
PK13537.1	PK13537.1	TALE
PK12638.1	PK12638.1	TALE
PK25203.1	PK25203.1	TALE
PK16496.1	PK16496.1	TALE
PK21144.1	PK21144.1	TALE
PK14089.1	PK14089.1	TALE
PK20180.1	PK20180.1	TALE
PK22194.1	PK22194.1	TALE
PK17736.1	PK17736.1	TALE
PK05853.1	PK05853.1	HD-ZIP
PK26879.1	PK26879.1	HD-ZIP
PK20392.1	PK20392.1	HD-ZIP
PK21887.1	PK21887.1	HD-ZIP
PK26879.2	PK26879.2	HD-ZIP
PK05260.1	PK05260.1	HD-ZIP
PK18992.1	PK18992.1	HD-ZIP
PK12774.2	PK12774.2	HD-ZIP
PK07873.1	PK07873.1	HD-ZIP
PK17424.1	PK17424.1	HD-ZIP
PK17334.1	PK17334.1	HD-ZIP
PK03912.2	PK03912.2	HD-ZIP
PK14809.1	PK14809.1	HD-ZIP
PK03912.1	PK03912.1	HD-ZIP
PK19571.1	PK19571.1	HD-ZIP
PK03054.1	PK03054.1	HD-ZIP
PK15571.1	PK15571.1	HD-ZIP
PK15535.1	PK15535.1	HD-ZIP
PK12360.1	PK12360.1	HD-ZIP
PK15571.2	PK15571.2	HD-ZIP
PK17499.1	PK17499.1	TALE
PK16587.1	PK16587.1	TALE
PK25034.1	PK25034.1	TALE
PK26828.1	PK26828.1	TALE
PK15857.1	PK15857.1	TALE
PK02271.1	PK02271.1	TALE
PK06948.1	PK06948.1	HD-ZIP
PK16243.1	PK16243.1	HD-ZIP
PK19449.1	PK19449.1	HD-ZIP
PK08504.1	PK08504.1	HD-ZIP
PK00670.1	PK00670.1	HD-ZIP
PK24181.1	PK24181.1	HD-ZIP
PK01613.1	PK01613.1	HD-ZIP
PK07568.1	PK07568.1	HD-ZIP
PK07866.1	PK07866.1	HD-ZIP
PK08284.1	PK08284.1	HD-ZIP
PK14673.1	PK14673.1	HD-ZIP
PK00670.3	PK00670.3	HD-ZIP
PK00670.2	PK00670.2	HD-ZIP
PK00670.4	PK00670.4	HD-ZIP
PK03141.1	PK03141.1	HB-PHD
PK00386.1	PK00386.1	C3H
PK00562.1	PK00562.1	C3H
PK00570.1	PK00570.1	C2H2
PK00778.1	PK00778.1	C2H2
PK00778.2	PK00778.2	C2H2
PK01585.1	PK01585.1	C3H
PK02322.1	PK02322.1	C2H2
PK02378.1	PK02378.1	LSD
PK02694.1	PK02694.1	C3H
PK02979.1	PK02979.1	C3H
PK02979.3	PK02979.3	C3H
PK03356.1	PK03356.1	C2H2
PK03426.1	PK03426.1	C3H
PK03426.2	PK03426.2	C3H
PK03600.1	PK03600.1	C3H
PK03600.2	PK03600.2	C3H
PK03705.1	PK03705.1	C2H2
PK04103.1	PK04103.1	C3H
PK05226.1	PK05226.1	C3H
PK05257.1	PK05257.1	C2H2
PK05303.4	PK05303.4	C3H
PK05421.1	PK05421.1	LSD
PK05449.1	PK05449.1	C3H
PK05604.1	PK05604.1	C2H2
PK05761.1	PK05761.1	C3H
PK05993.1	PK05993.1	C2H2
PK06347.1	PK06347.1	C2H2
PK06624.1	PK06624.1	C2H2
PK06745.1	PK06745.1	C2H2
PK06779.5	PK06779.5	C2H2
PK07181.1	PK07181.1	C3H
PK07194.1	PK07194.1	C3H
PK07396.1	PK07396.1	C2H2
PK07740.3	PK07740.3	C3H
PK07740.4	PK07740.4	C3H
PK07740.5	PK07740.5	C3H
PK07795.1	PK07795.1	C2H2
PK08294.1	PK08294.1	C3H
PK08327.1	PK08327.1	C3H
PK09048.1	PK09048.1	C3H
PK09091.1	PK09091.1	C2H2
PK09701.1	PK09701.1	C2H2
PK09848.1	PK09848.1	C2H2
PK10012.1	PK10012.1	C2H2
PK10087.1	PK10087.1	C2H2
PK10188.1	PK10188.1	C2H2
PK10560.1	PK10560.1	C2H2
PK10560.2	PK10560.2	C2H2
PK11390.1	PK11390.1	C2H2
PK11424.1	PK11424.1	C2H2
PK11636.1	PK11636.1	C3H
PK12157.1	PK12157.1	C3H
PK12630.1	PK12630.1	C2H2
PK12817.1	PK12817.1	C2H2
PK12852.1	PK12852.1	C2H2
PK13355.1	PK13355.1	C2H2
PK13777.1	PK13777.1	C2H2
PK13905.1	PK13905.1	C3H
PK14631.1	PK14631.1	C3H
PK14971.1	PK14971.1	C3H
PK15161.1	PK15161.1	C2H2
PK15161.2	PK15161.2	C2H2
PK15838.1	PK15838.1	C3H
PK15923.1	PK15923.1	C2H2
PK16276.1	PK16276.1	C2H2
PK16711.1	PK16711.1	C2H2
PK16748.1	PK16748.1	C3H
PK17145.1	PK17145.1	C2H2
PK17577.1	PK17577.1	C2H2
PK17751.2	PK17751.2	C3H
PK17916.1	PK17916.1	C3H
PK18288.1	PK18288.1	C2H2
PK18677.1	PK18677.1	C2H2
PK18872.1	PK18872.1	C2H2
PK18872.2	PK18872.2	C2H2
PK18893.1	PK18893.1	C2H2
PK20141.1	PK20141.1	C2H2
PK20376.1	PK20376.1	C3H
PK20376.2	PK20376.2	C3H
PK20504.2	PK20504.2	C3H
PK20740.1	PK20740.1	C3H
PK20829.1	PK20829.1	C3H
PK20993.1	PK20993.1	C3H
PK21682.1	PK21682.1	C2H2
PK22229.1	PK22229.1	C2H2
PK22271.1	PK22271.1	C3H
PK22837.1	PK22837.1	C2H2
PK23067.1	PK23067.1	C2H2
PK23167.1	PK23167.1	C2H2
PK23301.1	PK23301.1	C2H2
PK23609.1	PK23609.1	C3H
PK23633.1	PK23633.1	C2H2
PK23881.1	PK23881.1	C3H
PK24307.1	PK24307.1	C2H2
PK24732.1	PK24732.1	LSD
PK25434.1	PK25434.1	C2H2
PK25565.1	PK25565.1	C2H2
PK25575.1	PK25575.1	C3H
PK25720.1	PK25720.1	C2H2
PK25985.1	PK25985.1	C2H2
PK26145.1	PK26145.1	C2H2
PK26630.1	PK26630.1	C3H
PK26637.1	PK26637.1	C3H
PK26637.2	PK26637.2	C3H
PK26775.1	PK26775.1	C2H2
PK27171.1	PK27171.1	C2H2
PK27186.1	PK27186.1	C2H2
PK27255.1	PK27255.1	C2H2
PK28420.1	PK28420.1	C3H
PK28558.1	PK28558.1	C2H2
PK28804.1	PK28804.1	C3H
PK29015.1	PK29015.1	C2H2
PK29685.1	PK29685.1	C3H
PK01088.1	PK01088.1	MYB
PK01153.1	PK01153.1	MYB
PK01174.1	PK01174.1	MYB
PK01212.1	PK01212.1	MYB
PK01704.1	PK01704.1	MYB
PK02305.1	PK02305.1	MYB
PK02515.1	PK02515.1	MYB
PK03176.1	PK03176.1	MYB
PK03488.1	PK03488.1	MYB
PK03585.1	PK03585.1	MYB
PK05123.1	PK05123.1	MYB
PK05741.1	PK05741.1	MYB
PK05754.1	PK05754.1	MYB
PK05760.1	PK05760.1	MYB
PK05970.1	PK05970.1	MYB
PK06182.1	PK06182.1	MYB
PK06396.1	PK06396.1	MYB
PK06779.3	PK06779.3	MYB
PK07741.1	PK07741.1	MYB
PK07857.1	PK07857.1	MYB
PK08038.1	PK08038.1	MYB
PK08631.1	PK08631.1	MYB
PK08857.1	PK08857.1	MYB
PK10274.1	PK10274.1	MYB
PK10896.1	PK10896.1	MYB
PK11574.1	PK11574.1	MYB
PK11664.1	PK11664.1	MYB
PK11664.2	PK11664.2	MYB
PK11717.1	PK11717.1	MYB
PK12011.1	PK12011.1	MYB
PK12011.2	PK12011.2	MYB
PK12836.1	PK12836.1	MYB
PK12959.1	PK12959.1	MYB
PK13281.1	PK13281.1	MYB
PK13672.1	PK13672.1	MYB
PK13689.1	PK13689.1	MYB
PK13930.1	PK13930.1	MYB
PK14097.1	PK14097.1	MYB
PK14287.1	PK14287.1	MYB
PK14382.1	PK14382.1	MYB
PK14784.1	PK14784.1	MYB
PK14811.1	PK14811.1	MYB
PK15104.1	PK15104.1	MYB
PK15478.1	PK15478.1	MYB
PK16315.1	PK16315.1	MYB
PK16329.1	PK16329.1	MYB
PK16424.1	PK16424.1	MYB
PK16550.1	PK16550.1	MYB
PK16958.1	PK16958.1	MYB
PK17282.1	PK17282.1	MYB
PK17293.1	PK17293.1	MYB
PK17670.1	PK17670.1	MYB
PK17827.1	PK17827.1	MYB
PK18231.1	PK18231.1	MYB
PK18276.1	PK18276.1	MYB
PK19621.1	PK19621.1	MYB
PK20358.1	PK20358.1	MYB
PK20858.1	PK20858.1	MYB
PK20989.1	PK20989.1	MYB
PK21058.1	PK21058.1	MYB
PK21166.1	PK21166.1	MYB
PK21537.1	PK21537.1	MYB
PK22137.1	PK22137.1	MYB
PK22174.1	PK22174.1	MYB
PK22647.1	PK22647.1	MYB
PK22855.1	PK22855.1	MYB
PK23594.1	PK23594.1	MYB
PK24260.1	PK24260.1	MYB
PK26008.1	PK26008.1	MYB
PK26207.1	PK26207.1	MYB
PK27213.1	PK27213.1	MYB
PK27693.1	PK27693.1	MYB
PK27708.1	PK27708.1	MYB
PK28164.1	PK28164.1	MYB
PK28187.1	PK28187.1	MYB
PK28565.1	PK28565.1	MYB
PK28773.1	PK28773.1	MYB
PK29029.1	PK29029.1	MYB
PK29071.1	PK29071.1	MYB
PK29171.1	PK29171.1	MYB
PK29337.1	PK29337.1	MYB
PK00291.3	PK00291.3	MYB_related
PK00358.1	PK00358.1	MYB_related
PK00568.1	PK00568.1	MYB_related
PK00738.1	PK00738.1	MYB_related
PK00738.2	PK00738.2	MYB_related
PK00855.1	PK00855.1	MYB_related
PK01153.2	PK01153.2	MYB_related
PK01183.1	PK01183.1	MYB_related
PK02302.1	PK02302.1	MYB_related
PK02532.1	PK02532.1	MYB_related
PK02666.1	PK02666.1	MYB_related
PK03107.1	PK03107.1	MYB_related
PK03107.2	PK03107.2	MYB_related
PK03107.4	PK03107.4	MYB_related
PK04551.1	PK04551.1	MYB_related
PK05843.2	PK05843.2	MYB_related
PK06103.1	PK06103.1	MYB_related
PK06103.2	PK06103.2	MYB_related
PK06396.3	PK06396.3	MYB_related
PK06453.1	PK06453.1	MYB_related
PK06515.1	PK06515.1	MYB_related
PK06515.5	PK06515.5	MYB_related
PK06612.1	PK06612.1	MYB_related
PK06612.4	PK06612.4	MYB_related
PK07010.1	PK07010.1	MYB_related
PK07211.1	PK07211.1	MYB_related
PK07851.1	PK07851.1	MYB_related
PK07876.1	PK07876.1	MYB_related
PK07926.1	PK07926.1	MYB_related
PK08316.1	PK08316.1	MYB_related
PK09435.1	PK09435.1	MYB_related
PK09435.2	PK09435.2	MYB_related
PK09803.1	PK09803.1	MYB_related
PK10767.3	PK10767.3	MYB_related
PK11171.1	PK11171.1	MYB_related
PK11198.1	PK11198.1	MYB_related
PK11710.1	PK11710.1	MYB_related
PK11714.1	PK11714.1	MYB_related
PK12308.1	PK12308.1	MYB_related
PK13747.2	PK13747.2	MYB_related
PK14939.1	PK14939.1	MYB_related
PK14942.1	PK14942.1	MYB_related
PK15192.1	PK15192.1	MYB_related
PK15192.2	PK15192.2	MYB_related
PK15577.1	PK15577.1	MYB_related
PK15950.1	PK15950.1	MYB_related
PK16189.1	PK16189.1	MYB_related
PK16488.1	PK16488.1	MYB_related
PK17114.1	PK17114.1	MYB_related
PK17504.1	PK17504.1	MYB_related
PK17526.1	PK17526.1	MYB_related
PK18794.1	PK18794.1	MYB_related
PK19621.2	PK19621.2	MYB_related
PK19870.1	PK19870.1	MYB_related
PK20243.1	PK20243.1	MYB_related
PK20358.2	PK20358.2	MYB_related
PK20866.1	PK20866.1	MYB_related
PK21094.1	PK21094.1	MYB_related
PK21687.1	PK21687.1	MYB_related
PK21687.3	PK21687.3	MYB_related
PK22178.1	PK22178.1	MYB_related
PK22268.1	PK22268.1	MYB_related
PK23829.1	PK23829.1	MYB_related
PK25283.1	PK25283.1	MYB_related
PK25622.1	PK25622.1	MYB_related
PK27824.1	PK27824.1	MYB_related
PK28029.1	PK28029.1	MYB_related
PK28456.1	PK28456.1	MYB_related
PK29491.1	PK29491.1	MYB_related
PK29550.1	PK29550.1	MYB_related
