AEBP2_HUMAN	AEBP2_HUMAN
Z804B_HUMAN	Z804B_HUMAN
FEZF1_HUMAN	FEZF1_HUMAN
FEZF1_HUMAN	FEZF2_HUMAN
KLF12_HUMAN	KLF12_HUMAN
KLF12_HUMAN	KLF8_HUMAN
KLF12_HUMAN	KLF3_HUMAN
PRD13_HUMAN	PRD13_HUMAN
SP6_HUMAN	SP6_HUMAN
ZBT38_HUMAN	ZBT38_HUMAN
ZFP57_HUMAN	ZFP57_HUMAN
ZNF18_HUMAN	ZNF18_HUMAN
ZNF23_HUMAN	ZNF23_HUMAN
ZNF23_HUMAN	ZN322_HUMAN
Z280D_HUMAN	Z280D_HUMAN
Z280D_HUMAN	Z280C_HUMAN
Z280D_HUMAN	Z280B_HUMAN
Z280D_HUMAN	Z280A_HUMAN
ZN407_HUMAN	ZN407_HUMAN
ZN507_HUMAN	ZN507_HUMAN
ZN710_HUMAN	ZN710_HUMAN
PRD14_HUMAN	PRD14_HUMAN
SP7_HUMAN	SP7_HUMAN
ZBT39_HUMAN	ZBT39_HUMAN
ZN281_HUMAN	ZN281_HUMAN
ZN408_HUMAN	ZN408_HUMAN
ZN770_HUMAN	ZN770_HUMAN
FIZ1_HUMAN	FIZ1_HUMAN
KLF14_HUMAN	KLF14_HUMAN
KLF14_HUMAN	KLF13_HUMAN
KLF14_HUMAN	KLF9_HUMAN
PRD15_HUMAN	PRD15_HUMAN
SP8_HUMAN	SP8_HUMAN
SP8_HUMAN	SP9_HUMAN
SP8_HUMAN	KLF16_HUMAN
ZBTB4_HUMAN	ZBTB4_HUMAN
ZF64B_HUMAN	ZF64B_HUMAN
ZN114_HUMAN	ZN114_HUMAN
ZNF34_HUMAN	ZNF34_HUMAN
ZNF34_HUMAN	ZN660_HUMAN
ZNF34_HUMAN	ZIM3_HUMAN
ZNF34_HUMAN	ZN793_HUMAN
ZNF34_HUMAN	ZN554_HUMAN
ZNF34_HUMAN	ZNF35_HUMAN
ZNF34_HUMAN	ZN689_HUMAN
ZNF34_HUMAN	ZN764_HUMAN
ZNF34_HUMAN	ZN785_HUMAN
ZNF34_HUMAN	ZN688_HUMAN
ZN451_HUMAN	ZN451_HUMAN
ZN511_HUMAN	ZN511_HUMAN
ZN771_HUMAN	ZN771_HUMAN
GFI1_HUMAN	GFI1_HUMAN
GFI1_HUMAN	GFI1B_HUMAN
KLF15_HUMAN	KLF15_HUMAN
PRD16_HUMAN	PRD16_HUMAN
PRD16_HUMAN	MECOM_HUMAN
ZBT40_HUMAN	ZBT40_HUMAN
ZN341_HUMAN	ZN341_HUMAN
ZN410_HUMAN	ZN410_HUMAN
Z512B_HUMAN	Z512B_HUMAN
ZN628_HUMAN	ZN628_HUMAN
PRDM2_HUMAN	PRDM2_HUMAN
TREF1_HUMAN	TREF1_HUMAN
ZBT41_HUMAN	ZBT41_HUMAN
ZN414_HUMAN	ZN414_HUMAN
ZN513_HUMAN	ZN513_HUMAN
ZN814_HUMAN	ZN814_HUMAN
ZN814_HUMAN	ZN552_HUMAN
ZN814_HUMAN	Z587B_HUMAN
ZN814_HUMAN	ZN418_HUMAN
ZN814_HUMAN	ZN417_HUMAN
ZN814_HUMAN	ZN587_HUMAN
ZN814_HUMAN	ZN549_HUMAN
ZN814_HUMAN	ZN564_HUMAN
ZN814_HUMAN	ZN670_HUMAN
ZN814_HUMAN	ZN846_HUMAN
ZN814_HUMAN	ZN749_HUMAN
ZN814_HUMAN	ZN211_HUMAN
ZN814_HUMAN	ZN772_HUMAN
ZN814_HUMAN	ZN132_HUMAN
ZN814_HUMAN	ZN792_HUMAN
ZN814_HUMAN	ZN256_HUMAN
ZN814_HUMAN	ZN416_HUMAN
ZN814_HUMAN	ZN250_HUMAN
ZN814_HUMAN	ZN329_HUMAN
ZN814_HUMAN	ZN671_HUMAN
ZN814_HUMAN	ZN776_HUMAN
ZN814_HUMAN	ZN547_HUMAN
ZN814_HUMAN	ZN391_HUMAN
ZN814_HUMAN	ZNF17_HUMAN
ZN814_HUMAN	ZN37A_HUMAN
ZN814_HUMAN	ZIK1_HUMAN
GLI1_HUMAN	GLI1_HUMAN
KLF17_HUMAN	KLF17_HUMAN
PRDM4_HUMAN	PRDM4_HUMAN
ZN683_HUMAN	ZN683_HUMAN
ZN774_HUMAN	ZN774_HUMAN
GLI2_HUMAN	GLI2_HUMAN
GLI2_HUMAN	GLI3_HUMAN
PRDM5_HUMAN	PRDM5_HUMAN
ZBT43_HUMAN	ZBT43_HUMAN
ZN236_HUMAN	ZN236_HUMAN
ZN346_HUMAN	ZN346_HUMAN
ZN346_HUMAN	ZMAT4_HUMAN
ZN462_HUMAN	ZN462_HUMAN
ZN516_HUMAN	ZN516_HUMAN
ZN639_HUMAN	ZN639_HUMAN
ZN775_HUMAN	ZN775_HUMAN
ZN821_HUMAN	ZN821_HUMAN
