id	antibody	tf_uniprot_id	tf_uniprot_ac	protein_names	gene_names	species	cell_title	treatment	experiment_type	GEO_GSE	GEO_GSM	ENCODE	PUBMED	control_antibody	control_GEO_GSE	control_GEO_GSM	control_ENCODE	FRiP_GEM	FRiP_MACS	FRiP_PICS	FRiP_SISSRS	estFragLen	NSC	RSC	NRF	PBC1	PBC2
EXP041372	anti-FLAG	Q96524	CRY2_ARATH	Cryptochrome-2 (Atcry2) (Blue light photoreceptor) (Protein PHR homolog 1) (AtPHH1) (Protein SUPPRESSOR OF elf3 20)	CRY2 PHH1 SEL20 At1g04400 F19P19.14	Arabidopsis thaliana	5 day old seedlings	"5 day white light, low blue for 16 hours"	normal	GSE68193	GSM1665423; GSM1665424	None	26724867	IgG	GSE68193	GSM1665425; GSM1665426	None	0.000311464	0.033304968	0	0.000650748	2680	1.011895	1.160578	0.615198	0.705049	3.729246
EXP041346	anti-GFP	Q8H1P9	MB3R3_ARATH	Transcription factor MYB3R-3 (Myb-related protein 3R-3)	MYB3R3 At3g09370 F3L24.24	Arabidopsis thaliana	9 day old seedlings	None	normal	GSE60554	GSM1482283	None	26069325	input	GSE60554	GSM1482284	None	0.051422587	0.174828038	0.011850054	0.023615058	3110	1.173221	2.377807	0.65843	0.671523	3.170611
EXP041340	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	Q9SQX9	None	None	None	Arabidopsis thaliana	12 day old seedlings	None	normal	GSE60084	GSM1464766	None	None	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	GSE60084	GSM1464765	None	0.000668811	0.073129794	0.000623931	0.001006591	1883	1.051376	3.039395	0.65641	0.674926	2.977625
EXP041341	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	Q9SQY0	None	None	None	Arabidopsis thaliana	12 day old seedlings	None	normal	GSE60084	GSM1464767	None	None	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	GSE60084	GSM1464765	None	0.000512904	0.075883943	0.002429956	0.0033316	1883	1.054033	2.27071	0.783811	0.814158	5.408572
EXP041343	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	Q8GUI6	JMJ14_ARATH	Probable lysine-specific demethylase JMJ14 (EC 1.14.11.-) (Jumonji domain-containing protein 14) (Jumonji domain-containing protein 4) (Lysine-specific histone demethylase JMJ14) (Protein JUMONJI 14)	JMJ14 JMJ4 PKDM7B At4g20400 F9F13.50	Arabidopsis thaliana	12 day old seedlings	None	normal	GSE60084	GSM1464769	None	None	"anti-HA (Sigma, catalog# H6908, lot# 013M4771)"	GSE60084	GSM1464765	None	0.003291433	0.111483185	8.92E-05	0.003860358	1880	1.097114	4.671431	0.587077	0.569808	2.072395
EXP041323	GFP antibdoy (abcam #290)	Q9SUA1	None	None	None	Arabidopsis thaliana	14 day old seedling	OE17-4	normal	GSE55893	GSM1348072	None	25387881	input	GSE55893	GSM1348073	None	4.08E-05	0.01181755	2.17E-05	5.91E-05	1641	1.018849	1.667187	0.543788	0.566604	2.266559
EXP041321	DEK3	Q9SUA1	None	None	None	Arabidopsis thaliana	14 day old seedling	OE3-1	normal	GSE55893	GSM1348068	None	25387881	input	GSE55893	GSM1348069	None	0.000222257	0.001482422	0	2.58E-05	4639	1.009535	1.48919	0.698821	0.735772	3.769008
EXP041317	E2Fa	Q9FNY0	E2FA_ARATH	Transcription factor E2FA (E2F transcription factor-3) (AtE2F3)	E2FA E2F3 E2F4 At2g36010 F11F19.8	Arabidopsis thaliana	PSB-d dark growing suspension cells	None	normal	GSE53422	GSM1291187	None	24453163	None	GSE53422	GSM1291190	None	0.02665074	0.047228099	0.01547264	0.020912096	2481	1.148508	1.545213	0.936315	0.956194	28.241488
EXP041315	YFP antibody (Homemade)	Q9ZPW3	None	None	None	Arabidopsis thaliana	4 week old seedlings	None	normal	GSE53099	GSM1282366	None	24550223	YFP antibody (Homemade)	GSE53099	GSM1282365	None	5.78E-05	0.002801032	0	0.000137228	585	1.043296	1.697767	0.913773	0.917491	12.454354
EXP041307	anti-myc antibody	Q9ZTX8	None	None	None	Arabidopsis thaliana	seedling	ARF6p::ARF6-Myc in arf6;arf8 seedlings	normal	GSE51770	GSM1252254	None	24867218	anti-myc antibody	GSE51770	GSM1252255	None	0.02060646	0.077288021	0.003494254	0.003712805	5240	1.065844	1.122978	0.691717	0.722806	3.703788
EXP041305	anti-GFP	Q6S591	JAG_ARATH	Zinc finger protein JAGGED	JAG At1g68480 T26J14.5	Arabidopsis thaliana	unopened buds	 JAG:JAG-GFP genotype	normal	GSE51537	GSM1247499; GSM1247500; GSM1247501	None	24497510	None	GSE51537	GSM1247502; GSM1247503; GSM1247504	None	8.54E-05	0.018430079	1.25E-05	0.000136912	2800	1.007667	0.6438033	0.663155	0.776381	4.555666
EXP041303	GFP ab290	Q9M0B9	None	None	None	Arabidopsis thaliana	10 day old seedlings	p35S::IBH1-GFP (IBH1OE) genotype	normal	GSE51120	GSM1239089	None	24505057	GFP ab290	GSE51120	GSM1239090	None	0.002991285	0.006813299	0.000200921	0.000603713	1916	1.10986	5903-01-01 0:00	0.504157	0.657422	2.959729
EXP041301	anti-HA	Q93WK5	APRR7_ARATH	Two-component response regulator-like APRR7 (Pseudo-response regulator 7)	APRR7 At5g02810 F9G14_120	Arabidopsis thaliana	complete 15 day-old seedlings	prr7-3 PRR7::HA-PRR7 genotype	normal	GSE49282	GSM1196648; GSM1196649	None	23808423	input	GSE49282	GSM1196647	None	0.016048196	0.048593799	0.00603574	0.005743605	5795	1.037689	1.469971	0.724192	0.807686	5.585322
EXP041300	anti-HA	Q93WK5	APRR7_ARATH	Two-component response regulator-like APRR7 (Pseudo-response regulator 7)	APRR7 At5g02810 F9G14_120	Arabidopsis thaliana	complete 15 day-old seedlings	prr7-3 genotype	normal	GSE49282	GSM1196646; GSM1196650	None	23808423	input	GSE49282	GSM1196645	None	0.015987035	0.011723996	8.12E-05	0.002265147	455	1.019769	1.290779	0.633522	0.781769	5.124887
EXP041297	ERF115	Q9LY29	None	None	None	Arabidopsis thaliana	PSB-d dark growing suspension cells	35S::ERF115-HBH genotype	normal	GSE48793	GSM1184662	None	24158907	None	GSE48793	GSM1184663	None	0.014802514	0.033718937	0.002377781	0.002523525	3594	1.056589	1.338794	0.847547	0.906099	12.760716
EXP041282	"anti-GR antibody (Glucocorticoid Receptor alpha Polyclonal antibody (Thermo Scientific, cat# PA1-516, lot# MD153967; to precipitate AP1-GR)"	P35631	AP1_ARATH	Floral homeotic protein APETALA 1 (Agamous-like MADS-box protein AGL7)	AP1 AGL7 At1g69120 F4N2.9	Arabidopsis thaliana	inflorescence	4 days after DEX	normal	GSE46986	GSM1142627	None	24581456	pre-immune serum	GSE46986	GSM1142630	None	0.002601655	0.022694064	0	0.002239827	3270	1.017814	0.6903367	0.683915	0.710906	3.390615
EXP041285	SEP3 antibody	O22456	SEP3_ARATH	Developmental protein SEPALLATA 3 (Agamous-like MADS-box protein AGL9)	SEP3 AGL9 At1g24260 F3I6.19	Arabidopsis thaliana	inflorescence	2 days after DEX	normal	GSE46986	GSM1279838; GSM1279839	None	24581456	pre-immune serum	GSE46986	GSM1142629	None	0.009917932	0.047874083	9.83E-05	0.004495218	1990	1.025582	0.9359969	0.693004	0.721199	3.60032
EXP041253	anti-HA (Abcam ab9110)	Q9XGM3	None	None	None	Arabidopsis thaliana	leaves	None	normal	GSE40329	GSM991341; GSM991342	None	None	None	GSE40329	GSM991347; GSM991348	None	0.023299898	0.137293137	0.009224542	0.007477553	5585	1.086885	1.183831	0.810168	0.869507	8.92869
EXP041252	anti-HA (Abcam ab9110)	Q9XGM3	None	None	None	Arabidopsis thaliana	leaves	eds 1-2 mutant; 35S:RPS4-HS eds1-2	normal	GSE40329	GSM991345; GSM991346	None	None	None	GSE40329	GSM991351; GSM991352	None	0.063518806	0.256009837	0.023357348	0.010668504	206	1.173734	1.214034	0.811094	0.876279	10.188142
EXP041251	anti-HA (Abcam ab9110)	Q9XGM3	None	None	None	Arabidopsis thaliana	leaves	eds1 wt; 35S:RPS4-HS	normal	GSE40329	GSM991343; GSM991344	None	None	None	GSE40329	GSM991349; GSM991350	None	0.05589068	0.225312275	0.016523171	0.009246865	348	1.133664	1.218107	0.797142	0.851816	7.946823
EXP041245	anti-GFP	Q6LA42	APRR5_ARATH	Two-component response regulator-like APRR5 (Pseudo-response regulator 5)	APRR5 At5g24470 T31K7.5	Arabidopsis thaliana	whole plants	PRR5pro:FLAG-PRR5-GFP/prr5 (12 h light/12 h dark conditions for 18 d; 10 hr after light on)	normal	GSE36361	GSM889585	None	23027938	input	GSE36361	GSM889586	None	0.216259798	0.334287886	0.03794959	0.016503833	2319	1.301679	2.412983	0.627877	0.6586	3.022436
EXP041236	AGO4 antibody	Q9ZVD5	None	None	None	Arabidopsis thaliana	2-3 week old seedling	nrpe1 mutant (nrpd1b-11)	normal	GSE35381	GSM867186	None	23013441	None	GSE35381	GSM867187	None	0.003531817	0.124302519	0	2.24E-05	60	1.010717	0.5221641	0.651595	0.658892	2.763658
EXP041225	anti-FlagM2	Q84LH8	PIF5_ARATH	Transcription factor PIF5 (Basic helix-loop-helix protein 65) (AtbHLH65) (bHLH 65) (Phytochrome interacting factor-like 6) (Phytochrome-interacting factor 5) (Transcription factor EN 103) (bHLH transcription factor bHLH065)	PIF5 BHLH65 EN103 PIL6 At3g59060 F17J16.110	Arabidopsis thaliana	14 day old seedling	low R/FR light (PIF5-HA overexpressor Flag tagged)	normal	GSE35059	GSM861508	None	None	anti-FlagM2	GSE35059	GSM861509	None	0.018798259	0.055369406	0.003066586	0.015520999	1490	1.038635	2.020362	0.776868	0.803463	5.36975
EXP041217	F3165 Sigma Monoclonal ANTI-FLAG M2	Q9SE43	None	None	None	Arabidopsis thaliana	10 day old seedlings	35S::FLAG-GR-REVd	normal	GSE26722	GSM2086282	None	22578006	None	GSE26722	GSM2086281	None	0.011188403	0.090854943	0.00022926	0.001839217	662	1.02225	1.132755	0.641257	0.816959	5.768065
EXP041216	F3165 Sigma Monoclonal ANTI-FLAG M2	Q9SE43	None	None	None	Arabidopsis thaliana	complete seedlings	Col-0 transgene	normal	GSE26722	GSM657970	None	22578006	None	GSE26722	GSM657971	None	0.000277305	0.00132789	7.52E-05	0.000633248	5202	1.034741	0.4641814	0.569311	0.676241	3.12115
EXP041201	anti-V5	O13936	SPT5_SCHPO	Transcription elongation factor spt5 (Chromatin elongation factor spt5)	spt5 SPAC23C4.19	Schizosaccharomyces pombe	FWP485 (Spt5-V5-IAA17)	no treatment	normal	GSE93803	GSM2462702	None	28366642	INPUT	GSE93803	GSM2462710	None	0.002206714	0.616746664	0	0.001748667	4844	1.054559	1.296075	0.639485	0.679949	3.384429
EXP041200	anti-V5	O13936	SPT5_SCHPO	Transcription elongation factor spt5 (Chromatin elongation factor spt5)	spt5 SPAC23C4.19	Schizosaccharomyces pombe	FWP486 (Spt5-degron)	thiamine + 1-Napthaleneacetic acid (NAA)	normal	GSE93803	GSM2462698	None	28366642	INPUT	GSE93803	GSM2462708	None	0	0.240785686	0	0.002964238	4976	1.010388	1.348664	0.781195	0.778644	4.450982
EXP041199	anti-V5	O13936	SPT5_SCHPO	Transcription elongation factor spt5 (Chromatin elongation factor spt5)	spt5 SPAC23C4.19	Schizosaccharomyces pombe	FWP486 (Spt5-degron)	DMSO	normal	GSE93803	GSM2462694	None	28366642	INPUT	GSE93803	GSM2462707	None	0.000165594	0.510035176	0	0.000861123	4903	1.036533	3198-01-01 0:00	0.615958	0.63649	2.855799
EXP041198	anti-V5	O13936	SPT5_SCHPO	Transcription elongation factor spt5 (Chromatin elongation factor spt5)	spt5 SPAC23C4.19	Schizosaccharomyces pombe	FWP485 (Spt5-V5-IAA17)	no treatment	normal	GSE93803	GSM2462690	None	28366642	INPUT	GSE93803	GSM2462706	None	0.001884581	0.599744039	0	0.007357709	4959	1.045541	1.387552	0.570766	0.598552	2.603745
EXP041180	None	Q9UTE3	None	None	None	Schizosaccharomyces pombe	seb1-3HA-TAP	"h+, ura4-delta18, leu1-32, ade6-M216, imr1R(NcoI)::ura4+, seb1-3HA-TAP::kan MX"	normal	GSE93342	GSM2399870	None	28367989	None	GSE93342	GSM2399868	None	0.486055883	0.628111282	0.053698474	0.030559956	3468	1.225857	1.001364	0.681292	0.736119	4.847432
EXP041151	Monoclonal ANTI-FLAG M2	G2TRJ8	CMC4_SCHPO	"Cx9C motif-containing protein 4, mitochondrial (Transcripts altered in meiosis protein 2)"	cmc4 tam2 SPAC4F10.22	Schizosaccharomyces pombe	wild-type	mock_WT	normal	GSE83600	GSM2210713	None	28218250	None	GSE83600	GSM2210772	None	0.001302509	0.017434575	0.0013126	0	2146	1.002954	1.397089	0.86353	0.865291	7.355919
EXP041153	Monoclonal ANTI-FLAG M2	O74842	FFT2_SCHPO	ATP-dependent helicase fft2 (EC 3.6.4.12) (Fun thirty-related protein 2)	fft2 SPCC1235.05c	Schizosaccharomyces pombe	Fft2-5xFLAG	None	normal	GSE83600	GSM2210715	None	28218250	None	GSE83600	GSM2210772	None	0.000294089	0.090696728	0.000238367	0.001064912	1963	1.008089	1.221583	0.777326	0.776295	4.440857
EXP041155	Monoclonal ANTI-FLAG M2	O42861	FFT3_SCHPO	ATP-dependent helicase fft3 (EC 3.6.4.12) (Fun thirty-related protein 3)	fft3 snf2SR SPAC25A8.01c	Schizosaccharomyces pombe	Fft3-5xFLAG	None	normal	GSE83600	GSM2210717	None	28218250	None	GSE83600	GSM2210772	None	3.13E-05	0.087445729	0	0.001182559	1788	1.00625	1.251907	0.807022	0.806264	5.128081
EXP041157	Monoclonal ANTI-FLAG M2	O14148	INO80_SCHPO	Putative DNA helicase ino80 (EC 3.6.4.12)	ino80 SPAC29B12.01	Schizosaccharomyces pombe	5929 strain	None	normal	GSE83600	GSM2210719	None	28218250	None	GSE83600	GSM2210772	None	0.001172847	0.080637103	0.001217067	0	1525	1.004538	1.480844	0.87773	0.879877	8.281224
EXP041159	Monoclonal ANTI-FLAG M2	Q9UTN6	None	None	None	Schizosaccharomyces pombe	5929 strain	None	normal	GSE83600	GSM2210721	None	28218250	None	GSE83600	GSM2210772	None	0.000418237	0.081823454	1.38E-05	0.000325166	2147	1.004871	1.388378	0.7416	0.739594	3.793174
EXP041161	sc-9996; Santa Cruz Biotech.	O94267	SPT16_SCHPO	FACT complex subunit spt16 (Facilitates chromatin transcription complex subunit spt16)	spt16 SPBP8B7.19	Schizosaccharomyces pombe	GFP_Spt16	None	normal	GSE83600	GSM2210724	None	28218250	None	GSE83600	GSM2210772	None	5.99E-05	0.314422273	0	0.003548458	1337	1.028505	1.090795	0.764259	0.77155	4.454698
EXP041152	Monoclonal ANTI-FLAG M2	O74842	FFT2_SCHPO	ATP-dependent helicase fft2 (EC 3.6.4.12) (Fun thirty-related protein 2)	fft2 SPCC1235.05c	Schizosaccharomyces pombe	Fft2-5xFLAG	None	normal	GSE83600	GSM2210714	None	28218250	None	GSE83600	GSM2210771	None	7.78E-05	0.074763206	0.00011929	0.000667904	1984	1.006249	1.307893	0.832509	0.832624	5.967415
EXP041154	Monoclonal ANTI-FLAG M2	O42861	FFT3_SCHPO	ATP-dependent helicase fft3 (EC 3.6.4.12) (Fun thirty-related protein 3)	fft3 snf2SR SPAC25A8.01c	Schizosaccharomyces pombe	Fft3-5xFLAG	None	normal	GSE83600	GSM2210716	None	28218250	None	GSE83600	GSM2210771	None	0	0.11556583	0	0.000820674	2497	1.007651	1.215387	0.844417	0.845365	6.478143
EXP041156	Monoclonal ANTI-FLAG M2	O14148	INO80_SCHPO	Putative DNA helicase ino80 (EC 3.6.4.12)	ino80 SPAC29B12.01	Schizosaccharomyces pombe	Ino80-5xFLAG	None	normal	GSE83600	GSM2210718	None	28218250	None	GSE83600	GSM2210771	None	0.00113264	0.080412312	9.79E-05	0.000137232	1375	1.004426	1.515465	0.855271	0.856898	6.93726
EXP041160	sc-9996; Santa Cruz Biotech.	O94267	SPT16_SCHPO	FACT complex subunit spt16 (Facilitates chromatin transcription complex subunit spt16)	spt16 SPBP8B7.19	Schizosaccharomyces pombe	GFP_Spt16	None	normal	GSE83600	GSM2210723	None	28218250	None	GSE83600	GSM2210771	None	0.000126358	0.34524204	0	0.012056904	713	1.036845	1.077059	0.879365	0.883798	8.813701
EXP041138	Flag (Sigma F1804)	O42934	CHP2_SCHPO	Chromo domain-containing protein 2	chp2 SPBC16C6.10	Schizosaccharomyces pombe	SPY5378	WT	normal	GSE83495	GSM2204475	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0.146623223	0.047393365	0.123222749	1335	6.936073	3.315993	0.832022	0.902146	14.502924
EXP041141	Flag (Sigma F1804)	P56523	CLR3_SCHPO	Histone deacetylase clr3 (EC 3.5.1.98) (Cryptic loci regulator 3)	clr3 SPBC800.03	Schizosaccharomyces pombe	SPY5593	WT	normal	GSE83495	GSM2204478	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0	0	0.007564297	5057	1.306218	23.14287	0.885439	0.901587	10.821813
EXP041142	Flag (Sigma F1804)	P56523	CLR3_SCHPO	Histone deacetylase clr3 (EC 3.5.1.98) (Cryptic loci regulator 3)	clr3 SPBC800.03	Schizosaccharomyces pombe	SPY5595	clr4_delta	normal	GSE83495	GSM2204479	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0	0.003210772	0.011185914	5780	1.087226	16.25302	0.780615	0.776585	4.290035
EXP041143	Flag (Sigma F1804)	P56523	CLR3_SCHPO	Histone deacetylase clr3 (EC 3.5.1.98) (Cryptic loci regulator 3)	clr3 SPBC800.03	Schizosaccharomyces pombe	SPY5597	clr4F449Y	normal	GSE83495	GSM2204480	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0	0	0.011201658	5137	1.071899	3.441272	0.883852	0.894217	9.489635
EXP041144	Flag (Sigma F1804)	O60016	CLR4_SCHPO	"Histone-lysine N-methyltransferase, H3 lysine-9 specific (EC 2.1.1.43) (Cryptic loci regulator 4) (Histone H3-K9 methyltransferase) (H3-K9-HMTase) (Lysine N-methyltransferase 1)"	clr4 kmt1 SPBC428.08c	Schizosaccharomyces pombe	SPY4636	flag-clr4	normal	GSE83495	GSM2204481	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0.028220117	0.005644023	0.041523886	5164	1.226447	11.33243	0.908524	0.920934	13.247446
EXP041145	Flag (Sigma F1804)	O60016	CLR4_SCHPO	"Histone-lysine N-methyltransferase, H3 lysine-9 specific (EC 2.1.1.43) (Cryptic loci regulator 4) (Histone H3-K9 methyltransferase) (H3-K9-HMTase) (Lysine N-methyltransferase 1)"	clr4 kmt1 SPBC428.08c	Schizosaccharomyces pombe	SPY4642	flag-clr4F449Y	normal	GSE83495	GSM2204482	None	28682306	Flag (Sigma F1804)	GSE83495	GSM2204474	None	0	0	0.010537408	0.030558483	227	1.603597	9.823207	0.934563	0.937619	16.931034
EXP041125	mouse monoclonal anti-V5/Pk1	O13861	TCD_SCHPO	tRNA threonylcarbamoyladenosine dehydratase (EC 6.1.-.-) (t(6)A37 dehydratase)	SPAC1A6.10 SPAC30D11.05c	Schizosaccharomyces pombe	Y4256	SWI1 deletion	normal	GSE74487	GSM1921614	None	26990647	None	GSE74487	GSM1921615	None	6.94E-05	0.050811795	0.000370353	0	3631	1.006433	2.085946	0.552604	0.527426	1.946298
EXP041121	GFP-Trap beads	Q9Y7Z8	None	None	None	Schizosaccharomyces pombe	Myo1-GFP	High Phosphate	normal	GSE67105	GSM1638843; GSM1638844; GSM1638845	None	26345368	None	GSE67105	GSM1638846; GSM1638847	None	0	0.000275265	1.34E-05	6.06E-05	4456	1.004027	1.106683	0.514628	0.574605	2.620099
EXP041098	"ANTI-FLAG M2 Monoclonal Antibody(Sigma), Subclass; IgG1, Clone; M2, Cat No.; F1804"	Q96UP3	RIF1_SCHPO	Telomere length regulator protein rif1	rif1 SPAC6F6.17 SPAPJ736.01	Schizosaccharomyces pombe	KYP1306	taz1delta	normal	GSE65293	GSM1591769	None	26436827	None	GSE65293	GSM1591768	None	0.006681426	0.124853595	0	0.00577393	1456	1.013134	1.138171	0.710526	0.704239	3.23407
EXP041085	"rabbit polyclonal anti-Myc (Novus Biologicals, Cat. NB600-336, Lot. A5)"	P41003	SMC2_SCHPO	Structural maintenance of chromosomes protein 2 (Cell untimely torn protein 14) (Chromosome segregation protein cut14)	cut14 smc2 SPBP4H10.06c	Schizosaccharomyces pombe	SPO16	asynchronous cultures	normal	GSE60273	GSM1468961	None	26257282	"rabbit polyclonal anti-Myc (Novus Biologicals, Cat. NB600-336, Lot. A5)"	GSE60273	GSM1468964	None	0	0.003620512	3.40E-05	0	2138	1.023504	1.617562	0.609773	0.609756	2.548147
EXP041087	"rabbit polyclonal anti-Myc (Novus Biologicals, Cat. NB600-336, Lot. A5)"	Q9UTL5	None	None	None	Schizosaccharomyces pombe	SPK1072	asynchronous cultures	normal	GSE60273	GSM1468963	None	26257282	"rabbit polyclonal anti-Myc (Novus Biologicals, Cat. NB600-336, Lot. A5)"	GSE60273	GSM1468964	None	0.001493386	0.01199629	0	0	2182	1.040448	1.479643	0.534808	0.562653	2.402735
EXP041065	GFP	Q9HDY7	None	None	None	Schizosaccharomyces pombe	5929 strain	None	normal	GSE54685	GSM1322114	None	24789708	None	GSE54685	GSM1322118	None	0.005713651	0.045474236	0.000784244	0.030018932	4196	1.010656	5.202313	0.518425	0.525595	2.099462
EXP041064	GFP	Q9P802	None	None	None	Schizosaccharomyces pombe	A94 strain	None	normal	GSE54685	GSM1322113	None	24789708	None	GSE54685	GSM1322117	None	0.001046764	0.023955207	0.00019442	0.01167119	4235	1.010825	2.355579	0.689018	0.687436	3.163702
EXP041044	Swd1-myc (anti-Myc)	O42858	SWD1_SCHPO	Set1 complex component swd1 (Set1C component swd1) (COMPASS component swd1) (Complex proteins associated with set1 protein swd1)	swd1 SPAC23H3.05c	Schizosaccharomyces pombe	spt6-1 strain	None	normal	GSE49574	GSM1202035; GSM1202036	None	24100010	None	GSE49574	GSM1202029; GSM1202030	None	0.000795108	0.08043848	0	0.000157759	5332	1.01794	1.069817	0.607786	0.646417	3.15006
EXP041043	Set2-myc (anti-Myc)	O14026	SET2_SCHPO	"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.43) (Lysine N-methyltransferase 3) (SET domain-containing protein 2)"	set2 kmt3 SPAC29B12.02c	Schizosaccharomyces pombe	spt6-1 strain	None	normal	GSE49574	GSM1202033; GSM1202034	None	24100010	None	GSE49574	GSM1202027; GSM1202028	None	0.00456056	0.30215461	0	0.001466492	5404	1.028937	1.079742	0.656062	0.676129	3.180705
EXP041040	Set2-myc (anti-Myc)	O14026	SET2_SCHPO	"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.43) (Lysine N-methyltransferase 3) (SET domain-containing protein 2)"	set2 kmt3 SPAC29B12.02c	Schizosaccharomyces pombe	whole cells	None	normal	GSE49574	GSM1202005; GSM1202006	None	24100010	None	GSE49574	GSM1201998; GSM1201999	None	0.004746441	0.379957057	0	0.001314887	5401	1.032753	1.068966	0.578661	0.608127	2.646242
EXP041028	"Mediator subunit Med7 antibody [conjugated with beads (IgG Sepharose 6 Fast Flow from GE healthcare, 17-0969-01, Lot# 10026538)]"	O60104	MED7_SCHPO	Mediator of RNA polymerase II transcription subunit 7 (Mediator complex subunit 7)	med7 SPBC14F5.08	Schizosaccharomyces pombe	whole cells	None	normal	GSE35524	GSM870206	None	22851695	None	GSE35524	GSM870204	None	0.008435759	0	0	0	1544	1.011232	1.235982	0.83898	0.837247	6.045411
EXP041026	Tbx16	Q504I8	Q504I8_DANRE	T-box gene 16 (Tbx16 protein)	tbx16	Danio rerio	"epiboly, 75-85%"	None	normal	GSE84612	GSM2242767	None	28658625	None	GSE84612	GSM2549944	None	0.003598562	0.015463866	0	0.008241309	1	2.457288	16.55054	0.514276	0.711564	5.173232
EXP041019	"Rad21 (custom made by GenScript Corporation, USA)"	Q6TEL1	Q6TEL1_DANRE	RAD21 cohesin complex component a (RAD21 homolog)	rad21a RAD21 rad21	Danio rerio	10 hpf embryos (bud stage)	None	normal	GSE84600	GSM2242559; GSM2242560	None	29158440	no antibody input control	GSE84600	GSM2242557; GSM2242558	None	0.015802426	0.035407831	0.015588844	0.009425809	2436	1.053857	1.043989	0.869559	0.86823	7.448382
EXP041020	"CTCF (custom made by GenScript Corporation, USA)"	Q6JAA4	Q6JAA4_DANRE	CCCTC-binding factor (CCCTC-binding factor (Zinc finger protein))	ctcf	Danio rerio	10 hpf embryos (bud stage)	None	normal	GSE84600	GSM2242561; GSM2242562	None	29158440	no antibody input control	GSE84600	GSM2242557; GSM2242558	None	0.001250604	0.006705672	0.001115279	0.000556613	2463	1.027938	0.7433083	0.855009	0.854246	6.775423
EXP041009	SOX10	Q90XD1	Q90XD1_DANRE	HMG-box transcription factor Sox10 (SRY (sex determining region Y)-box 10) (Sox10 protein)	sox10	Danio rerio	melanoma tumor cell line	None	normal	GSE75353	GSM1953853	None	26823433	None	GSE75353	GSM1953854	None	0.001336515	0.005650822	0	0.001761446	1255	1.050254	1.036295	0.936884	0.937232	15.861026
EXP041001	myc	P52160	MYCA_DANRE	Transcriptional regulator Myc-A (c-Myc-A) (zc-Myc)	myca cmyc myc	Danio rerio	10S embryos	None	normal	GSE57332	GSM1379663	None	25725067	None	GSE57332	GSM1379664	None	0.000437203	0.000190802	0	0.00019779	4048	1.725928	3.134817	0.798976	0.804652	5.294358
EXP041000	Tbx6	Q8JIS6	TBX6_DANRE	T-box transcription factor TBX6 (T-box protein 6) (T-box transcription factor TBX24) (T-box protein 24)	tbx6 tbx24	Danio rerio	10S embryos	None	normal	GSE57332	GSM1379661	None	25725067	None	GSE57332	GSM1379662	None	0.02646363	0.010094697	0	0.000204586	1021	1.217585	1935-01-01 0:00	0.709816	0.720913	3.742375
EXP040994	Eomesa	Q98TU2	Q98TU2_DANRE	Eomesa protein (Eomesodermin homolog a) (T-box transcription factor eomesodermin)	eomesa eomes	Danio rerio	"embryos, high sphere stage"	None	normal	GSE51891	GSM1254752; GSM1254755	None	25277163	input	GSE51891	GSM1254753; GSM1254756	None	0.09010928	0.53402609	0.04773523	0.083747991	88	2.005474	0.8938926	0.674238	0.867308	11.893067
EXP040991	Zic3	Q6PV84	Q6PV84_DANRE	"ZIC family member 3 heterotaxy 1 (Odd-paired homolog, Drosophila) (Zinc finger protein) (Zinc finger protein of the cerebellum 3)"	zic3	Danio rerio	24 hpf embryos	sqet33 transgenic	normal	GSE41458	GSM1017645	None	24204288	Input-control	GSE41458	GSM1017644	None	0	0.002389614	0	0.0018241	1021	1.157547	3.111539	0.660862	0.64293	2.632225
EXP040986	anti-FLAG__ M2	Q90270	PO5F1_DANRE	"POU domain, class 5, transcription factor 1 (POU domain protein 2)"	pou5f1 gp-9 pou-2 pou2	Danio rerio	"embryos, late blastula"	None	normal	GSE39780	GSM978985	None	23950494	None	GSE39780	GSM978986	None	0.007118565	0.019611039	0.000113072	0.000953447	1427	1.084274	1.544406	0.852138	0.849962	6.478806
EXP040983	gata1	Q05AJ3	Q05AJ3_DANRE	GATA-binding protein 1 (GATA-binding protein 1a) (Gata1 protein)	gata1a gata1	Danio rerio	"red blood cells, adult"	None	normal	GSE35874	GSM876969	None	22537494	None	GSE35874	GSM876968	None	0.012913865	0.031919401	0	0.019742751	5351	1.358828	1.468667	0.757087	0.750849	3.882917
