tf	species	dataset
FOXA2	Homo sapiens	ERP004003.FOXA2.islet;ENCSR080XEY.FOXA2.liver;ENCSR310NYI.FOXA2.liver;ERP008682.FOXA2.liver_CARN1618;ERP008682.FOXA2.pancreas_CARN1618;ENCSR000BRE.FOXA2.A-549;ERP004206.FOXA2.H9;ENCSR000BNI.FOXA2.Hep-G2;ENCSR066EBK.FOXA2.Hep-G2;GSE66218.FOXA2.CACO2;GSE90454.FOXA2.BJ1-hTERT;GSE90454.FOXA2.BJ1-hTERT_CDT1_Mimo;GSE90454.FOXA2.BJ1-hTERT_FoxHnf1aCoExp;GSE90454.FOXA2.BJ1-hTERT_GATA4;GSE90454.FOXA2.BJ1-hTERT_Mimo;GSE90454.FOXA2.BJ1-hTERT_Mimo_Release;GSE90454.FOXA2.BJ1-hTERT_MimosinePlus;GSE90454.FOXA2.BJ1-hTERT_MimosineRelease;GSE90454.FOXA2.BJ1-hTERT_Unind;GSE92491.FOXA2.BJ1-hTERT_CDT1;GSE92491.FOXA2.BJ1-hTERT_FOXA2_GATA4_Coexp;GSE92491.FOXA2.BJ1-hTERT_Mimo;GSE92491.FOXA2.BJ1-hTERT_MimoRelease;GSE90454.FOXA2.A-549;GSE90454.FOXA2.Hep-G2;GSE90454.FOXA2.KerCT
FOXA3	Homo sapiens	ENCSR092OVN.FOXA3.Hep-G2
FOXF1	Homo sapiens	GSE106624.FOXF1.GIST-T1;GSE106624.FOXF1.GIST48;GSE106624.FOXF1.GIST48_siETV1
FOXJ2	Homo sapiens	ENCSR847LBF.FOXJ2.K-562
FOXK1	Homo sapiens	GSE51673.FOXK1.HEK293T
FOXK2	Homo sapiens	ENCSR861JUQ.FOXK2.GM12878;ENCSR872BOU.FOXK2.HEK293T;ENCSR171FUX.FOXK2.Hep-G2;ENCSR302AWT.FOXK2.K-562;ENCSR508DQA.FOXK2.K-562;ENCSR465VLK.FOXK2.MCF-7
FOXM1	Homo sapiens	ENCSR000BRU.FOXM1.GM12878;ENCSR831EIW.FOXM1.HEK293T;ENCSR000BUS.FOXM1.Ishikawa;ERP013564.FOXM1.OE33;ENCSR429QPP.FOXM1.K-562;ENCSR000BUJ.FOXM1.MCF-7;ENCSR000BTB.FOXM1.SK-N-SH;GSE60032.FOXM1.HEK293;GSE52098.FOXM1.HeLa;GSE38170.FOXM1.U2OS;GSE62425.FOXM1.HMEC-1;GSE40762.FOXM1.MCF-7;GSE40762.FOXM1.MCF-7_THIOS;GSE72977.FOXM1.MCF-7_MI63;GSE40762.FOXM1.MDA-MB-231;GSE40762.FOXM1.MDA-MB-231_THIOS
FOXO1	Homo sapiens	GSE80773.FOXO1.CD34;GSE69542.FOXO1.hESC;GSE68349.FOXO1.B-cell_GERMINAL_CENTER
FOXO3	Homo sapiens	GSE97661.FOXO3.Hep-G2;GSE97661.FOXO3.K-562
FOXP1	Homo sapiens	ERP010999.FOXP1.RCK8;ERP010999.FOXP1.U2932;ENCSR029LBT.FOXP1.Hep-G2;ENCSR369YUK.FOXP1.Hep-G2;ERP010999.FOXP1.SU-DHL-4;ERP010999.FOXP1.SU-DHL-6;GSE62492.FOXP1.LNCaP;GSE58428.FOXP1.VCaP_DHT24H;GSE31006.FOXP1.H9;GSE62718.FOXP1.neural-progenitor
FOXP2	Homo sapiens	ENCSR000BGA.FOXP2.PFSK1;ENCSR000BGB.FOXP2.SK-N-MC
FUS	Homo sapiens	ENCSR590QQP.FUS.Hep-G2;ENCSR051DXE.FUS.K-562
GABPA	Homo sapiens	ENCSR000BGC.GABPA.GM12878;ENCSR331HPA.GABPA.GM12878;ENCSR038GMB.GABPA.liver;ENCSR350ORK.GABPA.liver;ENCSR000BPY.GABPA.A-549;ENCSR000BJK.GABPA.Hep-G2;ENCSR269TNX.GABPA.Hep-G2;ENCSR000BTK.GABPA.HL-60;ENCSR000BLO.GABPA.K-562;ENCSR290MUH.GABPA.K-562;ENCSR000BUK.GABPA.MCF-7;ENCSR000BTG.GABPA.SK-N-SH;ENCSR000BIW.GABPA.WA01;ENCSR000BHS.GABPA.HeLa-S3;GSE59021.GABPA.DU145;GSE31417.GABPA.HeLa;GSE49091.GABPA.Jurkat;GSE49091.GABPA.VCaP;GSE49091.GABPA.VCaP_ETOH;GSE49091.GABPA.VCaP_R1881;GSE72082.GABPA.Hep-G2;GSE72082.GABPA.MCF-7;GSE29808.GABPA.RWPE-1;GSE98093.GABPA.THP-1_calcitriol_100nM_1d;GSE98093.GABPA.THP-1_EtOH_1d
GABPB1	Homo sapiens	ENCSR462KYU.GABPB1.Hep-G2;ENCSR138YYY.GABPB1.K-562
GATA1	Homo sapiens	GSE104676.GATA1.CD34_Day7_30min;GSE104676.GATA1.CD34_Day9_30min;ERP008568.GATA1.CHRF28811;ENCSR000EXP.GATA1.erythroblast;GSE104676.GATA1.HUDEP-2_30min;ENCSR000EFT.GATA1.K-562;ENCSR000EWM.GATA1.K-562;GSE107726.GATA1.K-562;GSE107726.GATA1.K-562_MYO1D-Hub_KO;GSE107726.GATA1.K-562_MYO1D-Non-hub_KO;GSE29194.GATA1.CD34_ERYTH_BIO;GSE29194.GATA1.CD34_ERYTH_BMP;GSE52924.GATA1.CD34;GSE43625.GATA1.erythroid_R3R4;GSE70482.GATA1.K-562;GSE93372.GATA1.HSPC-CD34pos
GATA2	Homo sapiens	ENCSR000EVW.GATA2.endothelial_umbilical-vein;GSE105081.GATA2.WA09;ERP008568.GATA2.HL-60;ENCSR000BKM.GATA2.K-562;ENCSR000DKA.GATA2.K-562;ENCSR000EWG.GATA2.K-562;ENCSR000EYB.GATA2.SH-SY5Y;GSE108408.GATA2.ESF;GSE29194.GATA2.CD34_PROG_BMP;GSE60792.GATA2.CD34_ACY957;GSE60792.GATA2.CD34_DMSO;GSE38391.GATA2.LNCaP;GSE52725.GATA2.LNCaP;GSE69043.GATA2.LNCaP_CSFCS;GSE69043.GATA2.LNCaP_ETOH;GSE69043.GATA2.LNCaP_FBS;GSE69043.GATA2.LNCaP_R1881;GSE69043.GATA2.LNCaP_SHGATA2_ETOH;GSE69043.GATA2.LNCaP_SHGATA2_R1881;GSE73207.GATA2.TF1;GSE109625.GATA2.HUVEC-C;GSE109625.GATA2.HUVEC-C_VEGF_12h;GSE109625.GATA2.HUVEC-C_VEGF_1h;GSE109625.GATA2.HUVEC-C_VEGF_4h;GSE87283.GATA2.SKH1;GSE87283.GATA2.SKH1_RUNX1-EVI1_KD;GSE60477.GATA2.TSU-1621MT;GSE46044.GATA2.ME-1
GATA3	Homo sapiens	GSE104399.GATA3.breast_tumor_Male_15;GSE104399.GATA3.breast_tumor_Male_16;GSE104399.GATA3.breast_tumor_Male_21;GSE105081.GATA3.WA09;ENCSR000BTI.GATA3.A-549;ENCSR000BST.GATA3.MCF-7;ENCSR000EWS.GATA3.MCF-7;ENCSR000EWV.GATA3.MCF-7;ENCSR423RTK.GATA3.MCF-7;ENCSR000EXZ.GATA3.SH-SY5Y;ENCSR000BTH.GATA3.SK-N-SH;ENCSR000BMX.GATA3.T-47D;GSE65664.GATA3.BE2C;GSE72266.GATA3.CD4_TH1;GSE72266.GATA3.CD4_TH2;GSE29180.GATA3.Jurkat;GSE68976.GATA3.Jurkat;GSE76181.GATA3.Jurkat;GSE65664.GATA3.Kelly;GSE65664.GATA3.NGP;GSE39179.GATA3.RPMI8402;GSE71751.GATA3.thymocyte;GSE90683.GATA3.CLB-Ga;GSE33850.GATA3.CCRF-CEM;GSE29073.GATA3.MCF-7_DMSO;GSE29073.GATA3.MCF-7_E2;GSE40129.GATA3.MCF-7;GSE40129.GATA3.MCF-7_E2;GSE51274.GATA3.MCF-7;GSE60270.GATA3.MCF-7;GSE60270.GATA3.MCF-7_E2;GSE81510.GATA3.MCF-7_E2;GSE81510.GATA3.MCF-7_E2_Dex;GSE81510.GATA3.MCF-7_ICI;GSE65664.GATA3.SH-SY5Y;GSE51274.GATA3.T-47D;GSE112491.GATA3.A1A3_Brg1KD_Dex;GSE112491.GATA3.A1A3_Brg1KD_EtOH;GSE112491.GATA3.A1A3_Dex;GSE112491.GATA3.A1A3_EtOH;GSE112491.GATA3.T47D-A1-2_Dex;GSE112491.GATA3.T47D-A1-2_EtOH;GSE94822.GATA3.Kelly;GSE99479.GATA3_Cter.T-47D_CR3flp;GSE99479.GATA3_Cter.T-47D_flp-ctrl;GSE99479.GATA3_Nter.T-47D_CR3flp;GSE99479.GATA3_Nter.T-47D_flp-ctrl;GSE94822.GATA3.SK-N-BE2-C
GATA4	Homo sapiens	ENCSR590CNM.GATA4.Hep-G2;GSE51705.GATA4.AGS;GSE51705.GATA4.KATOIII;GSE92491.GATA4.BJ1-hTERT;GSE92491.GATA4.BJ1-hTERT_FOXA2_GATA4_Coexp;GSE85002.GATA4.A-549;GSE51705.GATA4.YCC-3;GSE85628.GATA4.cardiomyocyte;GSE85628.GATA4.cardiomyocyte_1;GSE85628.GATA4.cardiomyocyte_5;GSE85628.GATA4.cardiomyocyte_7;GSE85628.GATA4.G296S;GSE85628.GATA4.G296S_2;GSE85628.GATA4.G296S_4
GATA6	Homo sapiens	ERP004206.GATA6.H9;GSE51705.GATA6.AGS;GSE51936.GATA6.AGS;GSE23436.GATA6.CACO2_DIFF;GSE23436.GATA6.CACO2_PROLIF;GSE51936.GATA6.HUG1N;GSE51705.GATA6.KATOIII;GSE49320.GATA6.LS174T;GSE47535.GATA6.PATU8988;GSE77360.GATA6.WA01;GSE51705.GATA6.YCC-3
GATAD1	Homo sapiens	ENCSR108TYQ.GATAD1.Hep-G2;GSE20303.GATAD1.HeLa
GATAD2A	Homo sapiens	ENCSR925BFV.GATAD2A.Hep-G2;ENCSR160QYK.GATAD2A.K-562
GATAD2B	Homo sapiens	ENCSR828NCB.GATAD2B.GM12878;ENCSR547LKC.GATAD2B.K-562;ENCSR389BLX.GATAD2B.MCF-7;ENCSR979FQP.GATAD2B.MCF-7
GFI1	Homo sapiens	GSE90769.GFI1.THP-1;GSE90769.GFI1.THP-1_OG86
GFI1B	Homo sapiens	ENCSR445PDR.GFI1B.HEK293;ENCSR509GDT.GFI1B.K-562;GSE52924.GFI1B.CD34
GLI2	Homo sapiens	ENCSR978EQY.GLI2.HEK293
GLI4	Homo sapiens	ENCSR211PZO.GLI4.HEK293;GSE76494.GLI4.HEK293
GLIS1	Homo sapiens	ENCSR482BBZ.GLIS1.HEK293;GSE76494.GLIS1.HEK293
GLIS2	Homo sapiens	ENCSR535DIA.GLIS2.HEK293
GLYR1	Homo sapiens	GSE20303.GLYR1.HeLa
GMEB1	Homo sapiens	ENCSR928KOR.GMEB1.K-562
GMEB2	Homo sapiens	ENCSR745VSQ.GMEB2.Hep-G2
GR	Homo sapiens	GSE112491.GR.T47D-A1-2_Dex
GRHL2	Homo sapiens	GSE46194.GRHL2.HBE;GSE80256.GRHL2.LNCaP;GSE71018.GRHL2.OVCA429;GSE71018.GRHL2.PEO1;GSE109820.GRHL2.MCF-7;GSE109820.GRHL2.MCF-7_E2_45min;GSE81714.GRHL2.MCF-7;GSE71018.GRHL2.OVCAR-3;GSE113092.GRHL2.MCF-7-TAMR-1_VEH;GSE113092.GRHL2.MCF-7-WS8_VEH
GRHL3	Homo sapiens	GSE95199.GRHL3.NHEKSV3
GSPT2	Homo sapiens	GSE35197.GSPT2.HEK293T
GTF2A2	Homo sapiens	ENCSR801RPW.GTF2A2.K-562
GTF2B	Homo sapiens	ERP004110.GTF2B.LCL;ENCSR000DOE.GTF2B.K-562;GSE71848.GTF2B.HeLa_ASYNC;GSE71848.GTF2B.HeLa_G2M;GSE38303.GTF2B.IMR-90_TERT
GTF2F1	Homo sapiens	ENCSR769ZTN.GTF2F1.GM12878;ENCSR382PVA.GTF2F1.Hep-G2;ENCSR000EHC.GTF2F1.K-562;ENCSR189VXS.GTF2F1.K-562;ENCSR377BLZ.GTF2F1.K-562;ENCSR557JTZ.GTF2F1.MCF-7;ENCSR000EBP.GTF2F1.WA01;ENCSR000ECZ.GTF2F1.HeLa-S3
GTF3A	Homo sapiens	GSE76494.GTF3A.HEK293
GTF3C2	Homo sapiens	ENCSR000DOD.GTF3C2.K-562;ENCSR000DNY.GTF3C2.HeLa-S3
GTF3C5	Homo sapiens	GSE78957.GTF3C5.IMR-5_CD532
HAND2	Homo sapiens	GSE90683.HAND2.CLB-Ga;GSE94822.HAND2.Kelly;GSE94822.HAND2.SK-N-BE2-C
HBP1	Homo sapiens	ENCSR616WEG.HBP1.Hep-G2
HCFC1	Homo sapiens	ENCSR514VAY.HCFC1.GM12878;ENCSR529JYA.HCFC1.Hep-G2;ENCSR000EFN.HCFC1.K-562;ENCSR697CUP.HCFC1.MCF-7;ENCSR000ECH.HCFC1.HeLa-S3;GSE31417.HCFC1.HeLa
HCFC1R1	Homo sapiens	GSE100311.HCFC1R1.cartilage
HDAC1	Homo sapiens	ENCSR000AQF.HDAC1.K-562;ENCSR387UWP.HDAC1.K-562;ENCSR568PGX.HDAC1.K-562;ENCSR711VWL.HDAC1.K-562;GSE28950.HDAC1.VCaP_DHAT_2H;GSE28950.HDAC1.VCaP_ETOH
HDAC2	Homo sapiens	ENCSR330OEO.HDAC2.GM12878;ENCSR659LJJ.HDAC2.A-549;ENCSR000BMC.HDAC2.Hep-G2;ENCSR337NWW.HDAC2.Hep-G2;ENCSR000AQG.HDAC2.K-562;ENCSR000BMG.HDAC2.K-562;ENCSR075HTM.HDAC2.K-562;ENCSR893WSB.HDAC2.K-562;ENCSR000BTP.HDAC2.MCF-7;ENCSR000AVB.HDAC2.WA01;ENCSR000BNR.HDAC2.WA01;GSE28950.HDAC2.VCaP_DHAT_2H;GSE28950.HDAC2.VCaP_ETOH
HDAC3	Homo sapiens	ENCSR024LKA.HDAC3.K-562;GSE28950.HDAC3.VCaP_DHAT_2H;GSE28950.HDAC3.VCaP_ETOH
HDAC6	Homo sapiens	ENCSR933EYC.HDAC6.GM12878;ENCSR000ATJ.HDAC6.K-562;ENCSR000ATQ.HDAC6.WA01
HDAC8	Homo sapiens	ENCSR000DJZ.HDAC8.K-562;ENCSR835TCD.HDAC8.K-562
HDGF	Homo sapiens	ENCSR145XQO.HDGF.GM12878;ENCSR522LDJ.HDGF.HEK293T;ENCSR197ALX.HDGF.K-562;ENCSR563YDA.HDGF.K-562;ENCSR200CUA.HDGF.MCF-7
HES1	Homo sapiens	ENCSR091JXL.HES1.K-562;ENCSR109ODF.HES1.MCF-7;GSE60006.HES1.SW1353;GSE97661.HES1.Hep-G2
HEXIM1	Homo sapiens	GSE68052.HEXIM1.A-375_A771726;GSE68052.HEXIM1.A-375_DMSO;GSE72622.HEXIM1.HCT-116
HEXIM1-CDK9	Homo sapiens	GSE68047.HEXIM1-CDK9.A-375
HHEX	Homo sapiens	ENCSR656JZL.HHEX.Hep-G2
HIC1	Homo sapiens	ENCSR803GYT.HIC1.HEK293
HIF1A	Homo sapiens	GSE101063.HIF1A.RCC10;GSE76770.HIF1A.H1299;GSE43109.HIF1A.macrophage_HYPO;GSE43109.HIF1A.macrophage_HYPO_IL;GSE43109.HIF1A.macrophage_NORMO_IL;GSE85096.HIF1A.U2OS_DMOG;GSE85096.HIF1A.U2OS_DMSO;GSE85096.HIF1A.U2OS_trough_DMOG;GSE85096.HIF1A.U2OS_trough_DMSO;GSE34871.HIF1A.786-O;GSE39089.HIF1A.HUVEC-C_HYPOX;GSE39089.HIF1A.HUVEC-C_NOMO;GSE59935.HIF1A.T-47D_HAEGIN2;GSE86092.HIF1A.ccRCC
HIF2A	Homo sapiens	GSE86092.HIF2A.ccRCC
HINFP	Homo sapiens	ENCSR619GFP.HINFP.K-562
HKR1	Homo sapiens	GSE78099.HKR1.HEK293T
HLF	Homo sapiens	ENCSR528PSI.HLF.Hep-G2
HMBOX1	Homo sapiens	ENCSR757IIU.HMBOX1.K-562;GSE46237.HMBOX1.HeLa;GSE46237.HMBOX1.WI-38VA13
HMG20A	Homo sapiens	ENCSR072GJV.HMG20A.Hep-G2
HMGB1	Homo sapiens	GSE98245.HMGB1.HUVEC-C;GSE98245.HMGB1.IMR-90
HMGB2	Homo sapiens	GSE98245.HMGB2.HUVEC-C;GSE98245.HMGB2.IMR-90_proliferating;GSE98245.HMGB2.IMR-90_senescent
HMGN3	Homo sapiens	ENCSR000DOB.HMGN3.K-562
HMGXB4	Homo sapiens	ENCSR174GOO.HMGXB4.Hep-G2
HNF1A	Homo sapiens	ENCSR800QIT.HNF1A.Hep-G2;GSE108150.HNF1A.NY15;GSE108150.HNF1A.NY8;GSE76376.HNF1A.HEE_1;GSE76376.HNF1A.HEE_5
HNF1B	Homo sapiens	ERP004206.HNF1B.H9;GSE64557.HNF1B.PDAC
HNF4A	Homo sapiens	ENCSR445QRF.HNF4A.liver;ENCSR601OGE.HNF4A.liver;ERP002306.HNF4A.liver;ENCSR000BLF.HNF4A.Hep-G2;ENCSR000EEU.HNF4A.Hep-G2;ERP000209.HNF4A.Hep-G2;GSE23436.HNF4A.CACO2_DIFF;GSE23436.HNF4A.CACO2_PROLIF;GSE51234.HNF4A.GP5D;GSE51234.HNF4A.GP5D_SIRAD21;GSE51290.HNF4A.LoVo_PHASEM;GSE51290.HNF4A.LoVo_PHASES;GSE62890.HNF4A.HCT-116;GSE62890.HNF4A.HCT-116_TCF4;GSE62890.HNF4A.HCT-116_TCF4_DOX
HNF4G	Homo sapiens	ENCSR297GII.HNF4G.liver;ENCSR000BNJ.HNF4G.Hep-G2;GSE85558.HNF4G.22Rv1;GSE85558.HNF4G.22Rv1_Dox
HNRNPH1	Homo sapiens	ENCSR066FXN.HNRNPH1.Hep-G2
HNRNPK	Homo sapiens	ENCSR519QAA.HNRNPK.Hep-G2;ENCSR014RCS.HNRNPK.K-562
HNRNPL	Homo sapiens	ENCSR315JJE.HNRNPL.Hep-G2;ENCSR594BNR.HNRNPL.K-562
HNRNPLL	Homo sapiens	ENCSR804HMZ.HNRNPLL.Hep-G2;ENCSR112RNT.HNRNPLL.K-562
HNRNPUL1	Homo sapiens	ENCSR183AXJ.HNRNPUL1.Hep-G2;ENCSR296MXW.HNRNPUL1.K-562
HOMEZ	Homo sapiens	ENCSR117CHD.HOMEZ.Hep-G2
HOXA9	Homo sapiens	GSE38339.HOXA9.SEM;GSE62586.HOXA9.HEK293-FT
HOXB13	Homo sapiens	GSE56288.HOXB13.LNCaP;GSE114385.HOXB13.prostate_tumor_tissue1;GSE114385.HOXB13.prostate_tumor_tissue2;GSE114385.HOXB13.prostate_tumor_tissue3;GSE114385.HOXB13.prostate_tumor_tissue4;GSE65381.HOXB13.G-401;GSE96652.HOXB13.22Rv1;GSE94682.HOXB13.LNCaP;GSE94682.HOXB13.LNCaP_r1881;GSE96652.HOXB13.LNCaP;GSE96652.HOXB13.VCaP;GSE96652.HOXB13.VCaP_siERG
HOXB7	Homo sapiens	GSE47164.HOXB7.BT-474
HOXC11	Homo sapiens	GSE54027.HOXC11.MCF-7_LY2;GSE54027.HOXC11.MCF-7_LY2_TAMOXIFEN
HOXC5	Homo sapiens	GSE97570.HOXC5.PC-3;GSE97570.HOXC5.PC-3_Hoxc5overexp
HSF1	Homo sapiens	ENCSR009MBP.HSF1.GM12878;GSE105028.HSF1.WA09_heat-shock;ENCSR000EET.HSF1.Hep-G2;ENCSR062HDL.HSF1.MCF-7;GSE38901.HSF1.BPE;GSE38901.HSF1.BPE_HEAT;GSE38901.HSF1.BPLER;GSE38901.HSF1.breast_tumor;GSE38901.HSF1.colon_tumor;GSE38901.HSF1.HCT15;GSE38901.HSF1.HME1;GSE38901.HSF1.HME1_HEAT;GSE38901.HSF1.HMLER;GSE38901.HSF1.HT29;GSE45852.HSF1.MO91;GSE45852.HSF1.MO91_27A_100UM;GSE45852.HSF1.MO91_27A_20UM;GSE45852.HSF1.MO91_CHX_10UM;GSE38901.HSF1.SKBR3;GSE38901.HSF1.SW620;GSE60984.HSF1.U2OS_HEAT;GSE60984.HSF1.U2OS_HEAT_20;GSE38901.HSF1.ZR751;GSE38901.HSF1.BT-20;GSE63589.HSF1.451Lu;GSE38901.HSF1.MCF-10A;GSE38901.HSF1.MCF-10A_HEAT;GSE38901.HSF1.MCF-7;GSE45852.HSF1.MCF-7;GSE45852.HSF1.MCF-7_CHX_10UM;GSE38901.HSF1.NCI-H1703;GSE38901.HSF1.NCI-H838;GSE90716.HSF1.P12;GSE38901.HSF1.NCI-H441;GSE57398.HSF1.HCT-116;GSE57398.HSF1.HCT-116_KOFBXW7;GSE57398.HSF1.HCT-116_KOFBXW7_HEAT
ICE1	Homo sapiens	GSE47938.ICE1.HCT-116;GSE47938.ICE1.HCT-116_SHCTR;GSE47938.ICE1.HCT-116_SHICE1
ICE2	Homo sapiens	GSE47938.ICE2.HCT-116
ID3	Homo sapiens	ENCSR005NMT.ID3.K-562
IKZF1	Homo sapiens	ENCSR000EUJ.IKZF1.GM12878;ENCSR441VHN.IKZF1.GM12878;ENCSR874AFU.IKZF1.GM12878;ENCSR278JQG.IKZF1.Hep-G2;ENCSR395HWC.IKZF1.K-562;ENCSR948VFL.IKZF1.K-562;GSE26014.IKZF1.HSPC;GSE58825.IKZF1.BCR-ABL1;GSE58825.IKZF1.BCR-ABL1_LAX2
IKZF2	Homo sapiens	ENCSR680UQE.IKZF2.GM12878;ENCSR822AHX.IKZF2.GM12878
IKZF3	Homo sapiens	ENCSR304AMN.IKZF3.HEK293
IKZF5	Homo sapiens	ENCSR210HBN.IKZF5.Hep-G2
ILF3	Homo sapiens	ENCSR632TJQ.ILF3.K-562;GSE103215.ILF3.K-562
ILK	Homo sapiens	ENCSR648INT.ILK.K-562
INO80	Homo sapiens	GSE107730.INO80.Hep-G2
INSM2	Homo sapiens	ENCSR382GSF.INSM2.HEK293
INTS11	Homo sapiens	GSE106359.INTS11.HL-60;GSE106359.INTS11.HL-60_PMA
INTS13	Homo sapiens	GSE106359.INTS13.monocyte;GSE106359.INTS13.HL-60;GSE106359.INTS13.HL-60_PMA;GSE106359.INTS13.HL-60_shEGR1
IRF1	Homo sapiens	GSE100381.IRF1.monocyte_nopretreatment;GSE100381.IRF1.monocyte_notreatment;ENCSR000EGK.IRF1.K-562;ENCSR000EGL.IRF1.K-562;ENCSR000EGT.IRF1.K-562;ENCSR000EGU.IRF1.K-562;ENCSR854MCV.IRF1.K-562;GSE43036.IRF1.CD14;GSE43036.IRF1.CD14_LPS;GSE64557.IRF1.PDAC;GSE89970.IRF1.HAEC_IL1b_4h;GSE89970.IRF1.HAEC_TNFa_4h
IRF2	Homo sapiens	ENCSR376WCJ.IRF2.K-562;GSE70660.IRF2.CD34_ADULT
IRF3	Homo sapiens	ENCSR000DZX.IRF3.GM12878;ENCSR408JQO.IRF3.GM12878;ENCSR000EEJ.IRF3.Hep-G2;ENCSR422ZAO.IRF3.SK-N-SH;ENCSR000EDF.IRF3.HeLa-S3;GSE105037.IRF3.HBTEC_E1Ainfected_FOXKb
IRF4	Homo sapiens	ENCSR000BGY.IRF4.GM12878;GSE56857.IRF4.NCI-H929;GSE56857.IRF4.OCI-Ly3;GSE56857.IRF4.OCI-Ly3_SHCTR;GSE56857.IRF4.OCI-Ly3_SHSPIB;GSE49224.IRF4.MM1-S;GSE94732.IRF4.KK-1
IRF5	Homo sapiens	ENCSR976TBC.IRF5.GM12878
IRF9	Homo sapiens	ENCSR926KTP.IRF9.K-562
ISL1	Homo sapiens	GSE94822.ISL1.SK-N-BE2-C
JARID2	Homo sapiens	GSE48516.JARID2.AMIPS6;GSE48516.JARID2.AMIPS8;GSE48516.JARID2.EDOMIPS2;GSE48516.JARID2.UTEIPS11;GSE48516.JARID2.UTEIPS4;GSE48516.JARID2.UTEIPS6;GSE48516.JARID2.UTEIPS7;GSE48515.JARID2.MRC-5_IPS25_CTR;GSE48515.JARID2.MRC-5_IPS25_MEG3;GSE48516.JARID2.MRC-5_IPS25
JDP2	Homo sapiens	GSE115465.JDP2.Loucy
JMJD1C	Homo sapiens	GSE63484.JMJD1C.NB4;GSE63484.JMJD1C.HL-60;GSE63484.JMJD1C.Kasumi-1;GSE63484.JMJD1C.THP-1
JMJD6	Homo sapiens	GSE51633.JMJD6.HEK293T;GSE51633.JMJD6.HeLa
JUN	Homo sapiens	ENCSR000EFA.JUN.endothelial_umbilical-vein;ENCSR996DUT.JUN.A-549;ENCSR000EEK.JUN.Hep-G2;ENCSR000EFS.JUN.K-562;ENCSR000EGH.JUN.K-562;ENCSR000EZT.JUN.K-562;ENCSR000EZW.JUN.K-562;ENCSR000EZX.JUN.K-562;ENCSR000FAH.JUN.K-562;ENCSR176EXN.JUN.MCF-7;GSE102410.JUN.MCF-7_E2;GSE102410.JUN.MCF-7_Tamoxifen;GSE102410.JUN.MCF-7_vehicle;ENCSR000ECA.JUN.WA01;ENCSR000EDG.JUN.HeLa-S3;GSE85401.JUN.Calu-3;GSE46166.JUN.BT-549;GSE71976.JUN.BT-549;GSE71976.JUN.BT-549_TNF;GSE86092.JUN.786-O;GSE109625.JUN.HUVEC-C;GSE109625.JUN.HUVEC-C_VEGF_12h;GSE109625.JUN.HUVEC-C_VEGF_1h;GSE109625.JUN.HUVEC-C_VEGF_4h;GSE115597.JUN.MCF10A-Er-Src_EtOH;GSE115597.JUN.MCF10A-Er-Src_TAM;GSE66081.JUN.MDA-MB-231;GSE89970.JUN.HAEC;GSE89970.JUN.HAEC_IL1b_4h;GSE89970.JUN.HAEC_oxpapc_4h;GSE89970.JUN.HAEC_TNFa_4h
JUNB	Homo sapiens	ENCSR897MMC.JUNB.GM12878;ENCSR917MAH.JUNB.hESC;ENCSR000DJY.JUNB.K-562;ENCSR795IYP.JUNB.K-562;GSE63080.JUNB.keratinocyte_neonatal;GSE115597.JUNB.MCF10A-Er-Src_EtOH;GSE115597.JUNB.MCF10A-Er-Src_TAM;GSE89970.JUNB.HAEC
JUND	Homo sapiens	ENCSR000DYS.JUND.GM12878;ENCSR000EYV.JUND.GM12878;ENCSR196HGZ.JUND.liver;ENCSR837GTK.JUND.liver;ENCSR000BRF.JUND.A-549;ENCSR000BGK.JUND.Hep-G2;ENCSR000EEI.JUND.Hep-G2;ENCSR000DJX.JUND.K-562;ENCSR000EGN.JUND.K-562;ENCSR000BSU.JUND.MCF-7;ENCSR000BSK.JUND.SK-N-SH;ENCSR000EIB.JUND.SK-N-SH;ENCSR000BVO.JUND.T-47D;ENCSR000BKP.JUND.WA01;ENCSR000EBZ.JUND.WA01;ENCSR000BSA.JUND.HCT-116;ENCSR000EDH.JUND.HeLa-S3;GSE51234.JUND.GP5D;GSE51234.JUND.GP5D_SIRAD21;GSE82295.JUND.HFOB_DIFF;GSE77039.JUND.HT29_DSMO;GSE85401.JUND.Calu-3;GSE29808.JUND.PC-3
KAT2A	Homo sapiens	ENCSR000ECR.KAT2A.HeLa-S3
KAT2B	Homo sapiens	ENCSR356WVQ.KAT2B.A-549;ENCSR620YNB.KAT2B.Hep-G2;ENCSR000ATZ.KAT2B.K-562
KAT8	Homo sapiens	ENCSR954KIC.KAT8.Hep-G2;ENCSR086FZL.KAT8.K-562
